MCZ-003	PUNTAS DORADAS	145.000	ZAPATOS					DORADOS	PUNTAS	40	MARI CRUZ	1	JACKELIN ACEVEDO		6361	
MCZ-004	SANDALIAS PLANAS NEGRAS TRENZADAS	120000	ZAPATOS					NEGRAS	PLANAS	36	MARI CRUZ	1	JACKELIN ACEVEDO		6173	
MCZ-004	SANDALIAS PLANAS NEGRAS TRENZADAS	120000	ZAPATOS					NEGRAS	PLANAS	37	MARI CRUZ	2	JACKELIN ACEVEDO		6173	
MCZ-004	SANDALIAS PLANAS NEGRAS TRENZADAS	120000	ZAPATOS					NEGRAS	PLANAS	38	MARI CRUZ	2	JACKELIN ACEVEDO		6173	
MCZ-004	SANDALIAS PLANAS NEGRAS TRENZADAS	120000	ZAPATOS					NEGRAS	PLANAS	40	MARI CRUZ	1	JACKELIN ACEVEDO		6173	
JKAZ-001	PUNTA MIEL	150000	ZAPATOS					MIEL	PUNTAS	35	JACKELINE ACEVEDO	1	JACKELIN ACEVEDO		6120	
JKAZ-002	SANDALIAS ORO PLANAS	150000	ZAPATOS					ORO	PLANAS	37	JACKELINE ACEVEDO	1	JACKELIN ACEVEDO		6201	
JKAZ-003	SANDALIAS CELESTE PLATA	90000	ZAPATOS					CELESTE PLATA	PLANAS	40	JACKELINE ACEVEDO	1	JACKELIN ACEVEDO		6116	
MPZ-001	SANDALIAS OSTRA ORO ROMANAS	145000	ZAPATOS					ORO	PLANAS	36	MARISOL PRADA	1	CECILIA LARA		1634	
SKZ-001	SANDALIAS NEGRAS TACON ROMANA	195000	ZAPATOS					NEGRAS	TACON	36	SIUK	1	MANOFACTURAS SANDOVAL		1256	
SKZ-001	SANDALIAS NEGRAS TACON ROMANA	195000	ZAPATOS					NEGRAS	TACON	37	SIUK	1	MANOFACTURAS SANDOVAL		1256	
SKZ-002	SANDALIAS NUDE ALTAS	195000	ZAPATOS					NUDE	TACON	37	SIUK	1	MANOFACTURAS SANDOVAL		1297	
SKZ-002	SANDALIAS NUDE ALTAS	195000	ZAPATOS					NUDE	TACON	38	SIUK	1	MANOFACTURAS SANDOVAL		1297	
SKZ-003	SANDALIAS ALMENDRA ALTAS	195000	ZAPATOS					ALMENDRA	TACON	37	SIUK	1	MANOFACTURAS SANDOVAL		1267	
SKZ-003	SANDALIAS ALMENDRA ALTAS	195000	ZAPATOS					ALMENDRA	TACON	38	SIUK	1	MANOFACTURAS SANDOVAL		1267	
SKZ-003	SANDALIAS ALMENDRA ALTAS	195000	ZAPATOS					ALMENDRA	TACON	39	SIUK	1	MANOFACTURAS SANDOVAL		1267	
SKZ-003	SANDALIAS ALMENDRA ALTAS	195000	ZAPATOS					ALMENDRA	TACON	40	SIUK	1	MANOFACTURAS SANDOVAL		1267	
SKZ-004	SANDALIAS ORO ALTAS	195000	ZAPATOS					ORO	TACON	37	SIUK	1	MANOFACTURAS SANDOVAL		1089	
SKZ-004	SANDALIAS ORO ALTAS	195000	ZAPATOS					ORO	TACON	39	SIUK	1	MANOFACTURAS SANDOVAL		1089	
